Mixture,Bcells,Monocytes,CD4Tcells,CD8Tcells,NK,Dendritics,P-value,Correlation,RMSE
lnc_10,0.136846282077513,0.148719208458565,0.399588028922635,0.215110831021958,0.0362706729750545,0.0634649765442751,0,0.358822168614525,0.939313228310255
lnc_11,0.108256457564593,0.198359526654913,0.35103315588819,0.192894316878333,0.048431167340179,0.101025375673792,0,0.327497923416125,0.964387046494017
lnc_13,0.160372721768346,0.481972983157823,0.128949130937991,0.123643764469791,0.0353874453385512,0.0696739543274984,0,0.456727604567811,1.02824505592248
lnc_14,0.214418326052017,0.290792514435882,0.197738227167912,0.183732518652454,0.0523103585663929,0.0610080551253419,0,0.439061395044597,0.932458909538604
lnc_15,0.0863585341941558,0.184995176103122,0.334316382298997,0.257934129500724,0.0633744229620308,0.0730213549409706,0,0.390911447030313,0.926683412297696
lnc_16,0.335685967911916,0.0980372431526337,0.226543913217782,0.158166486596856,0.0412536073563035,0.140312781764509,0,0.503594881384106,0.864402418433938
lnc_17,0.251065259619515,0.0116799066791882,0.333941774627234,0.206563079377028,0.119440140051431,0.0773098396456031,0,0.332083801845249,0.946655377546721
lnc_18,0.136893083332927,0.113063042132574,0.321119120694181,0.28058348204391,0.058800249839307,0.0895410219571011,0,0.345644736676851,0.941509298266712
lnc_19,0.070324353547647,0.242754022621224,0.321452679104013,0.18403000271487,0.113369665259823,0.0680692767524238,0,0.302715039692774,0.992115141393184
lnc_20,0.0397282793258301,0.241909852994024,0.365561673367189,0.244023230905505,0.0358796877549773,0.0728972756524756,0,0.271620270646603,1.00902853604669
lnc_21,0.0977531484589236,0.212055980329087,0.346994894451204,0.181122395657403,0.0572995021514975,0.104774078951885,0,0.487053128206697,0.874775080397741
lnc_23,0,0.201078270100192,0.361209813594618,0.268598537635036,0.0540141395477988,0.115099239122355,0,0.369195495796011,0.940668243077668
lnc_24,0,0.228582237848922,0.376386512511095,0.266475407335848,0.0477421450796164,0.080813697224519,0,0.342652038062883,0.963125507757873
lnc_25,0.254175306808911,3.42456674329376e-05,0.449904617204376,0.171239619400165,0.03291637363218,0.0917298372869348,0,0.400959825850379,0.916735006070704
lnc_26,0.189263822206402,0.049312029006712,0.316170353143641,0.24029144778515,0.100388773336427,0.104573574521668,0,0.300174599859269,0.958081588863784
lnc_27,0.192378684381906,0.0490337582138319,0.412660570219037,0.227310038823195,0.034576473341352,0.0840404750206776,0,0.381524635587527,0.924853130642225
lnc_28,0.0952104189150382,0,0.541877730117122,0.183308325385736,0.101472345058923,0.0781311805231809,0,0.284974226677546,0.959610394250763
lnc_29,0.0934866168051526,0.192369379980529,0.21370441215468,0.231334032768434,0.174325525522061,0.094780032769143,0,0.302134868975329,0.977101093255899
lnc_30,0.318457550416622,0.241616646028966,0.12440059783746,0.17514048407636,0.065602382419206,0.0747823392213861,0,0.444640521416605,0.924706051731003
lnc_31,0.166584017652261,0.0921090434197428,0.436785302311643,0.201098604096887,0.0264859073847161,0.0769371251347495,0,0.321760144986816,0.951165535692374
lnc_33,0.0528351034449955,0.180254577084376,0.444265104863933,0.179610704483773,0.0541991040672749,0.0888354060556477,0,0.372338779296105,0.934995850509672
lnc_34,0.0254234514735738,0.344094710879689,0.202011599002905,0.141575915415884,0.200598183093408,0.0862961401345393,0,0.358432837621684,1.00635719443656
lnc_35,0.0424336086877611,0.291327986069916,0.300056310864786,0.118348457508723,0.133298684906764,0.114534951962049,0,0.382845665498349,0.961436770162852
lnc_36,0.0655659709782242,0.226492481541981,0.304321452248328,0.226552199746892,0.0871413531963346,0.0899265422882404,0,0.359042971643564,0.953426570333237
lnc_37,0.0376828915307685,0.185082422394672,0.326139257235422,0.226896152125157,0.105216910403436,0.118982366310544,0,0.405533162148949,0.918195585299229
lnc_38,0.139215028464502,0.147611464087093,0.23804999396164,0.202052651998927,0.164942543810775,0.108128317677063,0,0.473272542577603,0.8806832825182
lnc_39,0.0513762599489778,0.0944586548530393,0.152994812529605,0.310618967878278,0.298387695054921,0.0921636097351795,0,0.299077291261808,0.962505241890812
lnc_40,0.0995071719935358,0.339574061134976,0.251527344531283,0.198927869866151,0.0280700867093961,0.0823934657646584,0,0.361854034646271,1.00320438786046
lnc_41,0.161546863953939,0.170128614082575,0.323842121614299,0.173807148710981,0.0657742819744579,0.104900969663747,0,0.440391762089833,0.899694464577656
lnc_44,0.189570453962523,0.513867353681713,0.0615627770294459,0.11009189994255,0.0635810241714014,0.0613264912123666,0,0.451622499216802,1.06313944654603
lnc_45,0.202401450345534,0.203357328114815,0.305263246580047,0.189711768915468,0,0.0992662060441365,0,0.560786790230972,0.827927138487743
lnc_46,0.197063692032242,0.0749632307206521,0.23354481306533,0.225842178666888,0.154429239252373,0.114156846262514,0,0.462320123828653,0.887467142987855
lnc_47,0.133115675785715,0.263841045633111,0.263192141040108,0.13962686334808,0.0674287463200808,0.132795527872905,0,0.353919241827997,0.973334067800076
lnc_5,0.180621194047007,0.15982538154658,0.345545044376367,0.139400578832084,0.0823242285085525,0.0922835726894095,0,0.329917265565444,0.958108568800198
lnc_6,0.250567431033261,0.192014646347052,0.20957008008844,0.14508444383996,0.125125940019283,0.0776374586720043,0,0.297425446882566,0.993398644377177
lnc_7,0.0423699961893566,0.206913741678973,0.350688394731295,0.232675298213727,0.057300969604945,0.110051599581703,0,0.410998792120292,0.918487987879182
lnc_8,0.054044705518643,0.218106936272875,0.382522276340689,0.183198967722563,0.0693001291095342,0.0928269850356955,0,0.305981316391541,0.980193745661106
lnc_9,0.0616072447812429,0.228758892714264,0.320615411641457,0.258154131784285,0.0391809008498759,0.0916834182288752,0,0.438460218106589,0.906553640533211
