,Astrocytes,Endothelial,ExNeurons,InNeurons,Microglia,OPC,Oligodendrocytes,Unknown
Bulk 321,0.10042449476729683,0.047004559561926555,0.07936263482281608,0.6916922660131798,0.037136304817122816,0.0,0.04437974001765815,0.0
Bulk 322,0.2608732379039056,0.1451076027899998,0.025365036600632537,0.46614761091165985,0.0003266206276293446,0.0,0.10053367367111836,0.0016462174950545787
Bulk 323,0.1753909572144447,0.0769256997281003,0.0632939959811137,0.5244769617806692,0.07281783159179496,0.0,0.08560693822424147,0.0014876154796356546
Bulk 324,0.2256526000769876,0.10936190689394103,0.04804390725413163,0.5445347088110722,0.04485256329793618,0.0,0.026863669422359123,0.0006906442435721782
Bulk 325,0.24724450519276475,0.1197904529228631,0.035846082257569425,0.5209490503437855,0.030206034787542323,0.0,0.04572353240109928,0.0002403420943756725
Bulk 326,0.3109708475736784,0.12518159327343187,0.030842328937069886,0.4620397613021414,0.03096969667749556,0.0,0.03960941407610574,0.00038635816007693603
Bulk 327,0.23301319127884557,0.04967059856634506,0.07558419216974821,0.6159195585563039,0.006436744362264946,0.0,0.01757835652522466,0.0017973585412677487
Bulk 328,0.4403324278194637,0.20107675253033333,0.0,0.2496433410905159,0.027584148164505398,0.0,0.08118468401198127,0.0001786463832004154
Bulk 329,0.2684613638237925,0.1909065615346159,0.019619180068559977,0.409833085261981,0.016377643220914943,0.0,0.09419052660841229,0.0006116394817236039
Bulk 330,0.18292111816816864,0.024154973257091306,0.07217720169871704,0.7045292767190913,0.003775714003997739,0.0,0.012441716152933909,0.0
Bulk 331,0.310617593904573,0.21988637999005192,0.035282913333344594,0.30031899170480986,0.0802356601190097,0.0,0.051447155845516214,0.0022113051026947084
Bulk 332,0.2597466695002493,0.19004651293301322,0.011587651564181475,0.3965629793037768,0.06356221947785408,0.002752712475948855,0.06773735110601772,0.008003903638958372
Bulk 333,0.33130015997698464,0.15671210578915912,0.01469241877647567,0.3191968930989072,0.05302174896619873,0.0,0.12449376299847724,0.0005829103937973238
Bulk 334,0.16594968050575243,0.07024552832893827,0.05357502019599906,0.6617544065964787,0.006608524114894001,0.002176787729740513,0.03955586041232998,0.00013419211586705574
Bulk 335,0.30451185795602576,0.13077693807714885,0.029093222927662313,0.4303524243629983,0.03668816724829637,0.0,0.068523426125701,5.39633021674267e-05
Bulk 336,0.26003376080409607,0.15756057956972336,0.029830618343439422,0.41136154803502795,0.07346447110162008,0.0,0.06046666247195033,0.007282359674142777
Bulk 337,0.2071898822516153,0.14402115223743,0.03792586149827077,0.49297431789263213,0.04145126659834953,0.0,0.06956959574800636,0.0068679237736958285
Bulk 338,0.27647837662018154,0.09499635685367493,0.01513361618449864,0.5303494162324512,0.06787140469797963,0.0,0.014840245806333965,0.00033058360488007606
Bulk 339,0.25436064792799207,0.11623116285241959,0.038893761723751016,0.526174412857908,0.03485416245407272,0.0,0.029359407875045047,0.00012644430881160676
Bulk 340,0.16395652243414227,0.11065175611794949,0.039334273162427116,0.6323654746058938,0.0,0.01123978112514703,0.03875402734810491,0.0036981652063353236
Bulk 341,0.23094708891546945,0.09762475504092089,0.051465654450218695,0.541920827806294,0.051783046242626314,0.0,0.026197443442416788,6.118410205390636e-05
Bulk 342,0.2826807916721349,0.11847274819876284,0.01602425213640639,0.49844131513116047,0.03343237313361432,0.0,0.04989819572870278,0.0010503239992183022
Bulk 343,0.21136448331095642,0.08808720485650326,0.048258407583103693,0.5908934662534185,0.02780577117750206,0.0,0.03356383700589286,2.6829812623090644e-05
Bulk 344,0.3577553134264928,0.21649425981532286,0.0,0.25788192791087555,0.04160663579667733,0.0,0.12371970988711001,0.002542153163521311
Bulk 345,0.35428962113343854,0.2009840589529104,0.006569236914517361,0.2735334348892532,0.05922292642096644,0.007132056731124899,0.0974467803251428,0.0008218846326464069
Bulk 346,0.06526683408720803,0.12682315117240558,0.1322728212922078,0.5752971333520732,0.06901632699352075,0.0,0.03097350886653634,0.0003502242360483142
Bulk 347,0.33791075963545425,0.16718308434036042,0.0,0.42417382014209637,0.024905152376669237,0.0,0.04381927491738864,0.002007908588031233
Bulk 348,0.23146731108730798,0.1105883920720076,0.04454888512941668,0.5372214579158634,0.0422264314804392,0.0,0.03204781363005752,0.0018997086849075696
Bulk 349,0.2407860264219294,0.13192693875149694,0.03495677271374882,0.5294675814316276,0.033724848658439985,0.0,0.029137832022757167,0.0
Bulk 350,0.2785384293352784,0.14950471558911346,0.024240226580098456,0.44435642578889517,0.03924620090424566,0.0,0.0638330277218087,0.0002809740805601669
Bulk 351,0.19717656143256757,0.07642494443608795,0.05303337563864027,0.6207031128170286,0.005545693410376835,0.0,0.04700033057492857,0.00011598169037026192
Bulk 352,0.2212327428879187,0.12941608935777954,0.03463963994199067,0.5188047698984356,0.029132545410423497,0.0,0.06479524748866121,0.001978965014790732
Bulk 353,0.21848581603635792,0.18885192176944254,0.03041010680913966,0.43567705959952024,0.02074364089219184,0.0,0.10393662157267367,0.0018948333206741878
Bulk 354,0.329017851499746,0.1744477783109964,0.012548211669669015,0.3297272452717356,0.08371883077390224,0.0,0.06894326813982221,0.0015968143341286497
Bulk 355,0.28569390513442544,0.1684140729580848,0.02539530392965475,0.404276815003211,0.060575259539329976,0.0,0.05487277955522291,0.0007718638800711068
Bulk 356,0.3436133812680244,0.1255996643637845,0.02125530619182867,0.4034971511920974,0.06059150523892386,0.0,0.04452703997026674,0.0009159517750743822
Bulk 357,0.34853070888567483,0.15880659509966333,0.0004986371937463667,0.33456399486397664,0.032825851029143295,0.0,0.12382686873194161,0.000947344195853812
Bulk 358,0.21660179329047846,0.18049259675202026,0.027630532224038433,0.3946605162727856,0.029924208069290876,0.044260118851988724,0.09689166408889757,0.009538570450500102
Bulk 359,0.248652711862826,0.13612666478280183,0.04405484600014743,0.4943738648320384,0.028187348482316903,0.0,0.04822702282944296,0.0003775412104265025
Bulk 360,0.2457743070725898,0.2037437852006823,0.03416161676889494,0.3673231971793706,0.08166976312860333,0.0,0.06732733064985906,0.0
Bulk 361,0.30087604791075995,0.22465344822232833,0.0,0.3444587948926328,0.030199968047858537,0.0,0.0992675153551287,0.0005442255712916882
Bulk 362,0.23528794414568305,0.14831215633631126,0.04516642842058217,0.47844109238862265,0.012397563426364186,0.0,0.06321068777087599,0.017184127511560766
Bulk 363,0.17290030495883194,0.14006809459092728,0.03982640316154322,0.5263404867559689,0.035749244894393205,0.0,0.08355095242892281,0.0015645132094126199
Bulk 364,0.24580050942067674,0.11058026935201584,0.03568868576894329,0.5523197411981623,0.02859773347478731,0.0,0.026292872316461418,0.0007201884689529671
Bulk 365,0.20848516859854663,0.09572778058670581,0.02650525950077053,0.5787328857584757,0.05344678339605837,0.0,0.0323838833998205,0.0047182387596225285
Bulk 366,0.20143566263279908,0.18338720618167287,0.057983254728674605,0.4664568812477756,0.020036877286889666,0.0,0.0693786732588659,0.0013214446633223352
Bulk 367,0.17087743050368173,0.13050534039265246,0.034190782878690304,0.5753641996124931,0.005856169881371256,0.0,0.08303965576435816,0.0001664209667529155
Bulk 368,0.23954720262404403,0.20382843059484038,0.008192034920472364,0.41415130819981477,0.05829036637329145,0.0,0.07587576674410618,0.0001148905434308359
Bulk 369,0.1565973314590605,0.1355331212508085,0.06352531721177408,0.5149436566481567,0.02488741513234743,0.0,0.1042147164267035,0.00029844187114935576
Bulk 370,0.20072851395909067,0.019674756955879384,0.07039109663021752,0.6773581537910949,0.0051491538603931795,0.0,0.023026169604003558,0.003672155199320764
Bulk 371,0.21004544461631222,0.155595750810819,0.03343709158952002,0.5091896223030882,0.008764644035354579,0.0,0.07959436126695105,0.0033730853779549153
Bulk 372,0.30228762456918035,0.17314350458701494,0.02205544656478567,0.3424157676572512,0.02298771604277483,0.003534739797316998,0.13328057398997067,0.0002946267917052683
Bulk 373,0.26657368890891847,0.1543242830411286,0.027166476806786077,0.41976671036381796,0.04151135878057345,0.0,0.08847480033168965,0.0021826817670857618
Bulk 374,0.1936779302495272,0.019565821447945133,0.052929855437348905,0.6665382225823937,0.026996421683956856,0.0,0.04029174859882822,0.0
Bulk 375,0.3117109229320549,0.17598727177209594,0.0026832666344200617,0.3835196097264679,0.0223936124980838,0.0,0.09995471103541119,0.00375060540146617
Bulk 376,0.18712596342321566,0.14861301691589587,0.04073274498627255,0.5325927936422852,0.02606129936497487,0.0,0.06368735260837137,0.0011868290589844936
Bulk 377,0.3746726124012479,0.1551937186018578,0.012727494647949004,0.3649964842741414,0.026263558021305998,0.0054701316819587165,0.05942833860480557,0.001247661766733556
Bulk 378,0.2451083354828927,0.18357342396555165,0.04447035196588062,0.39336919571265583,0.06500333243534824,0.0007896911389656239,0.06684450080380967,0.000841168494895681
Bulk 379,0.30570163611935613,0.1105333771754432,0.03323559303947012,0.478295630265537,0.016603120388340907,0.0,0.03506515696737276,0.020565486044479896
Bulk 380,0.13806247053223136,0.07068286185752377,0.07080469182000952,0.6356278784608483,0.03211399084525202,0.0,0.052708106484134966,0.0
Bulk 381,0.28001751441603195,0.160954766211869,0.011242302851014218,0.4526550481578189,0.02991439982395956,0.0,0.06464474036087794,0.0005712281784286044
Bulk 382,0.2526063315089182,0.16087835392052097,0.009638768537931561,0.3992495336001903,0.05095388666836187,0.01808173400668752,0.10705063626453043,0.0015407554928591357
Bulk 383,0.20746319438774782,0.1451288124204228,0.01498779654328619,0.513494201846379,0.0,0.0,0.11828756798641021,0.0006384268157540058
Bulk 384,0.2556148968573192,0.1136352251005623,0.021346854680022804,0.5502076896226281,0.02261462052857094,0.0,0.03540820877317257,0.001172504437724155
Bulk 385,0.21235587106854115,0.14633493095830896,0.03025913799523974,0.5124992169048329,0.010180698880517258,0.02781575525682763,0.059802729514133846,0.0007516594215985153
Bulk 386,0.23774901799951823,0.1017024580718075,0.07176773237785385,0.502649334856782,0.017653591533174917,0.0,0.06803105335546089,0.0004468118054026949
Bulk 387,0.2047046181213189,0.08589744838991746,0.04298063085696184,0.5973512933729089,0.030520693805611277,0.0,0.0381787490091226,0.00036656644415912753
Bulk 388,0.23026889897450073,0.09542604783403917,0.023926506063220807,0.610425559431752,0.003095089508615464,0.0,0.03602962811038892,0.000828270077482825
Bulk 389,0.2707261315677191,0.1786918698872211,0.022710850766813354,0.37232492782415577,0.035301025163930896,0.0,0.11981327462088824,0.0004319201692714584
Bulk 390,0.2885816738922679,0.24275140322231673,0.003591585368396336,0.28745006000387086,0.07093343704147921,0.0,0.10353034134502097,0.003161499126648033
Bulk 391,0.31592650910592857,0.16529266388331634,0.028961450000627213,0.37678817925077174,0.032451338894101525,0.02031199779913163,0.0601900053939473,7.785567217578257e-05
Bulk 392,0.32059921543176007,0.15980530775166663,0.003514418178831721,0.4257287904981882,0.0,0.0,0.08774706017231167,0.0026052079672417004
Bulk 393,0.2824573039945079,0.17203091275853766,0.006801925327473724,0.34561439228086765,0.0913207966425023,0.0,0.10111467398130897,0.0006599950148017325
Bulk 394,0.1638490334183788,0.13766959274969226,0.053701810909466324,0.5505793019137358,0.040263760944533544,0.0,0.05321711501909091,0.0007193850451023254
Bulk 395,0.21960342625762894,0.12343312811273813,0.033770815806397826,0.5134016312578997,0.07290522944044549,0.0,0.03657995546059739,0.0003058136642924511
Bulk 396,0.18452959752227266,0.10531175410572699,0.042280123757838274,0.6025816362699854,0.02438133239034679,0.0,0.04091555595382992,0.0
Bulk 397,0.38460302769678884,0.18056743277630136,0.02078165456806971,0.2812780629137722,0.06589726360394721,0.0,0.06673858897261362,0.0001339694685070564
Bulk 398,0.21238429780583748,0.10506432456374415,0.021189043984383777,0.6054654296338601,0.010035955980064522,0.0,0.030367771737442015,0.015493176294668043
Bulk 399,0.2705881000058764,0.06653336860342936,0.02993781231088288,0.5992101993509394,0.015542936847300487,0.0,0.017273555550266575,0.0009140273313047652
Bulk 400,0.268887803401509,0.13689985369955832,0.03619347431708713,0.4419111110317672,0.03604017831064954,0.0,0.07959834348190967,0.0004692357575191706
Bulk 401,0.4028551125696323,0.21686880875607326,0.006339241205328698,0.22898149788276292,0.04558205151350945,0.016223394689650027,0.08004929324974372,0.00310060013329968
Bulk 402,0.18555590714502843,0.0717382592560652,0.02992342157865546,0.6782090776985839,0.0056523008912577714,0.0,0.015874039461004092,0.013046993969405275
Bulk 403,0.29154524316629804,0.25391190438129313,0.0,0.2553579378853111,0.08558930819125239,0.0,0.10116724484829899,0.012428361527546262
Bulk 404,0.23254742026835176,0.11192901129665017,0.058803099493875716,0.5447783370547461,0.0045172006400609355,0.0,0.046675421814499685,0.0007495094318154984
Bulk 405,0.1408007775146344,0.06040931740770906,0.0697512561969385,0.7101518905405805,0.0038181238981514487,0.0,0.015068634441986086,0.0
Bulk 406,0.24709300052219785,0.15301881851956298,0.0,0.4795811144016267,0.05249168400354618,0.0,0.06106299443776726,0.0067523881152990435
Bulk 407,0.2135701524094037,0.1287814244725795,0.011083579450876254,0.5488193552995382,0.0,0.0,0.09758274728088545,0.00016274108671698225
Bulk 408,0.2693230482748448,0.13979852190296108,0.04595680577167791,0.48493771606379327,0.028620482632944668,0.0,0.029318261380383855,0.002045163973394334
Bulk 409,0.34818423494967016,0.13406657399070013,0.004628286103527038,0.41897022207709217,0.031670417613177675,0.0,0.06164210792033957,0.0008381573454933736
Bulk 410,0.2213976425884308,0.11760076574442019,0.05574340647479084,0.5491070617452151,0.021173674460770838,0.0,0.034710995320222225,0.00026645366615004793
Bulk 411,0.23266399198669602,0.10571718082121095,0.028271911340990892,0.5585929568928156,0.030063175941000424,0.0,0.04416681367750658,0.0005239693397793717
Bulk 412,0.21957074857299544,0.09401221508604125,0.045637756976694234,0.540304996182187,0.030099762955070046,0.0,0.06994359218553428,0.0004309280414777822
Bulk 413,0.36893856347819404,0.20476979187710556,0.020782771433745132,0.2866580561307085,0.03416558529469004,0.013978819037812491,0.07023900275216564,0.00046740999557861863
Bulk 414,0.21631739448622847,0.11331139278048974,0.05627391316556773,0.4910968471531069,0.052757949467683384,0.0,0.06976893478975119,0.0004735681571725745
Bulk 415,0.20250627565863408,0.036288760936608065,0.06600443675018548,0.689233556385713,0.005966970268859326,0.0,0.0,0.0
Bulk 416,0.28747645728819876,0.12991123789726455,0.05165415943687901,0.4427554165234768,0.046602209955077446,0.0,0.040414773874783705,0.001185745024319831
Bulk 417,0.23181679695594415,0.09645088441068367,0.052749503571565166,0.57430680313314,0.003067656874059417,0.0,0.03374823872665513,0.007860116327952606
Bulk 418,0.37564479235712234,0.15332673451788922,0.0029016836095778135,0.3486900728060095,0.03673134217133089,0.015455108618319249,0.06589042627500073,0.0013598396447502775
Bulk 419,0.21860313801599457,0.10666709531239771,0.042295109046967115,0.5472650610611959,0.02474254503684472,0.0,0.05913465430293239,0.0012923972236676172
Bulk 420,0.19403461331673216,0.06416584721590445,0.08513194168412799,0.6294316612960664,0.004519076149201874,0.0,0.022622773398672996,9.408693929400304e-05
Bulk 421,0.14938157216915993,0.0938705922733856,0.05710081642921784,0.6073015191023619,0.0389480848562703,0.0,0.05252310380617852,0.0008743113634259923
Bulk 422,0.212503818078008,0.1457938370715077,0.0,0.5205778756628857,0.018521605869326933,0.005553058594908086,0.09557879944353677,0.0014710052798268727
Bulk 423,0.2979734255534573,0.1699560118382826,0.040759153052558804,0.3782127359220462,0.03750197512821878,0.0,0.07451305112518092,0.0010836473802554507
Bulk 424,0.1912742451486806,0.142193334799784,0.011647432420780687,0.552303941606896,0.015240333358767098,0.0,0.07934557481592242,0.007995137849169217
Bulk 425,0.30117185331670315,0.1459531598429272,0.04685294370307636,0.40262674855457853,0.04320318892788501,0.0,0.05970211881054242,0.0004899868442874191
Bulk 426,0.2735899334613921,0.13877253292550476,0.03242787539598296,0.45565917059397043,0.04178151548085152,0.0,0.057099935451843796,0.0006690366904543456
Bulk 427,0.29920881342272965,0.19156446100829028,0.0,0.3777988649850055,0.042232307630565555,0.0,0.08645662012703956,0.0027389328263694697
Bulk 428,0.19422831849160868,0.10429891452895572,0.043274647012691105,0.5890351159004228,0.003869484533612516,0.0,0.06455942745278433,0.0007340920799248761
Bulk 429,0.20484115441280942,0.16350555265391495,0.03781686864968579,0.48974321110390756,0.055390741137783805,0.0,0.04661593468245762,0.0020865373594408567
Bulk 430,0.3514459520589239,0.17975568066519232,0.011659765003410504,0.2964333173851359,0.04657009256123905,0.0,0.11286446263937831,0.0012707296867198285
Bulk 431,0.29256525031693803,0.032325867822899,0.02278497378140986,0.6168739009767454,0.0,0.0,0.035450007102007665,0.0
Bulk 432,0.33388770794906025,0.1533341772604947,0.02349754103970273,0.34458458359638117,0.03195193872588456,0.0,0.11262440774428263,0.00011964368419396333
Bulk 433,0.31060598270701456,0.1582268306946334,0.010874447550397346,0.4095073529516913,0.02856158146252499,0.05530555894844841,0.02370390862087035,0.003214337064419809
Bulk 434,0.3513723694519845,0.17988028272806322,0.0,0.24065137558563754,0.08077242826904665,0.011763815921889168,0.13497467520566625,0.0005850528377125816
Bulk 435,0.24770642066081983,0.0833212230785496,0.03927277685238286,0.5924143788575783,0.0,0.0,0.034946889542631136,0.0023383110080382433
Bulk 436,0.2723469093485733,0.12391933491979878,0.029436158709987587,0.4952760805897549,0.03020767071258404,0.0,0.04847720966730524,0.00033663605199623855
Bulk 437,0.22073408098165573,0.13313518601629293,0.04738275708065984,0.4721626215429885,0.0,0.0,0.1210686681068121,0.005516686271590917
Bulk 438,0.21815627209337313,0.1576939241071266,0.0,0.47596210907285147,0.018061308528806715,0.0,0.09765044277341457,0.03247594342442742
Bulk 439,0.2603062605623509,0.2055447876199255,0.005234764870603885,0.3750533644344561,0.01783310996202565,0.0,0.13123771213326985,0.0047900004173682025
Bulk 440,0.17753981897835447,0.06305605463039302,0.04257557982421163,0.6685659966136254,0.005751585808727773,0.0,0.04192955373196265,0.0005814104127249113
Bulk 441,0.2837090906128573,0.1283127358440176,0.03527094135851426,0.44439799342265685,0.02842397163943931,0.0,0.07910322887135385,0.0007820382511609783
Bulk 442,0.2693376627262615,0.15413000006695174,0.03144314506785781,0.47039018883070066,0.02549983632256614,0.0,0.04829730614957795,0.0009018608360841402
Bulk 443,0.17482488028792462,0.10103227398884432,0.027322266804903177,0.5712489699830035,0.0,0.00330958269543057,0.12201953000781035,0.0002424962320834784
Bulk 444,0.3094358085487824,0.22178093825116568,0.03216291167639757,0.24094606727363868,0.059578901345243254,0.0,0.135807617522352,0.00028775538242036284
Bulk 445,0.26618836800406787,0.16571601544969894,0.01567746812939017,0.4641976329313504,0.04869557539517651,0.0,0.03809383207418175,0.0014311080161343737
Bulk 446,0.22775273319422087,0.0944678646767949,0.04349333596980107,0.5536292862189347,0.0035809994771874463,0.0,0.07707578046306109,0.0
Bulk 447,0.27822927507414086,0.12665938138788288,0.0,0.5029207948264733,0.020001843717423546,0.0,0.06856951882109796,0.003619186172981319
Bulk 448,0.25390199919108764,0.07860753476024752,0.058359395810028254,0.5434005756424135,0.03126036548213519,0.0,0.02623962286805203,0.008230506246035912
Bulk 449,0.16686351816720826,0.06133694803461007,0.0,0.6372028226598697,0.0,0.025241272553894238,0.1085114332641803,0.0008440053202373855
Bulk 450,0.21265703187073784,0.15701352126851942,0.014115430142777852,0.4856191204577139,0.032834573164404086,0.0,0.09708854515067618,0.0006717779451706826
Bulk 451,0.3005104960593874,0.1434360522749077,0.0,0.45786585228634763,0.02790305992755358,0.012246862707669455,0.0576286194588769,0.00040905728525731766
Bulk 452,0.296368599577694,0.19428850327619426,0.03237723566618043,0.3875754031065619,0.06933635948478825,0.0,0.02005389888858107,0.0
Bulk 453,0.18964343309841925,0.06517012489122184,0.049617690592226545,0.6194670435767147,0.029944003206440705,0.0,0.044915965713320495,0.0012417389216562865
Bulk 454,0.257185613575722,0.1384011724929658,0.04299596973479733,0.47491488829390827,0.045400757737927115,0.0,0.04047204674355746,0.0006295514211220582
Bulk 455,0.36643481553028784,0.1593716305972421,0.0,0.3557929934216032,0.06321406684495964,0.0,0.05472652033648646,0.00045997326942077055
Bulk 456,0.21574737096918672,0.013898129217895652,0.06208103675449344,0.6790409688744047,0.002603859376186947,0.0,0.02074480457288464,0.005883830234947992
Bulk 457,0.2268138226968889,0.13756664876575916,0.04518809756392092,0.4843634832640284,0.05134223569608255,0.0,0.05244532906817353,0.0022803829451465965
Bulk 458,0.36226146140557086,0.20205858421950337,0.02388467720467311,0.2615992225547142,0.04072633836315252,0.011681511623908913,0.09567693083123904,0.0021112737972378464
Bulk 459,0.38599561581810593,0.20484577021456224,0.0,0.28724794840251183,0.041281964572040586,0.004419991705190898,0.07021166542905122,0.0059970438585374205
Bulk 460,0.16351717066231317,0.0,0.07278097507570526,0.7165719015725207,0.02309773396691946,0.0,0.02403221872254131,0.0
Bulk 461,0.2093339051090858,0.03731098579104202,0.06792699822399507,0.6402712635798578,0.0055748157360729625,0.0,0.03925892995195721,0.00032310160798923405
Bulk 462,0.17911817666361243,0.09445632727985083,0.07884360192300228,0.5470869600501742,0.0,0.0,0.09412174895205462,0.006373185131305511
Bulk 463,0.1755035712492332,0.10440903751030371,0.09496120081427065,0.5428288008607577,0.02223516679796982,0.0,0.05774932917322556,0.002312893594239346
Bulk 464,0.2610745345019381,0.1798397420721888,0.04775789080680137,0.4411558513143831,0.020200947210159213,0.0,0.0499661129431885,4.921151340911517e-06
Bulk 465,0.1914483660834286,0.13236430610210895,0.012689301276617892,0.5724356905709762,0.007752528779509528,0.0,0.08222085904492286,0.0010889481424358252
Bulk 466,0.3248238205117221,0.16453398829563626,0.017198374531746743,0.3294647489251454,0.0596985950740769,0.0,0.1026917611418559,0.0015887115198167303
Bulk 467,0.23089769247923525,0.14927165579994245,0.0,0.5078230147131797,0.03399474609102549,0.0,0.07748192338504631,0.0005309675315707739
Bulk 468,0.37933077878934945,0.18301225779510777,0.02701947177446894,0.3090957726565506,0.05953222812205118,0.011181780796755008,0.030371969827654496,0.0004557402380626439
Bulk 469,0.3770870613816202,0.14944210421809948,0.007947949780755165,0.3663695123067318,0.012969318226133683,0.0,0.08528366651170985,0.0009003875749497657
Bulk 470,0.3322448455361856,0.17322820436433237,0.028586672625689778,0.3175347661218904,0.01885000590997831,0.006337535929337627,0.11737113308647637,0.005846836426109492
Bulk 471,0.2490206839533181,0.1285031823563555,0.01954553157630393,0.49739136945049633,0.027915541529682057,0.0,0.07656344977869696,0.00106024135514701
Bulk 472,0.25553472310877157,0.1011388485425023,0.03453030926402236,0.5316982679286999,0.0424001741698649,0.0,0.032946631861700715,0.001751045124438285
Bulk 473,0.30038170751467963,0.141076362942596,0.026783789053540955,0.4324606502298094,0.0,0.014942097178285593,0.08386119042266878,0.000494202658419649
Bulk 474,0.3557069038919438,0.15902360286606868,0.020951703260009856,0.40096976664065753,0.015333429667095918,0.0,0.047715558538610696,0.00029903513561356683
Bulk 475,0.2766788342110975,0.17011379553306735,0.04989133473605638,0.42546721292268047,0.023105866436411937,0.0,0.052119118069749004,0.0026238380909373877
Bulk 476,0.3200601710696745,0.19241569555508384,0.04216226945862071,0.26405567292812476,0.07097747409384954,0.01902409197808724,0.09130462491655941,0.0
Bulk 477,0.38251394856829407,0.15839193453694037,0.013484361157849676,0.3373961130304046,0.0703294671706052,0.0,0.031772488704023494,0.006111686831882658
Bulk 478,0.2849429908462963,0.14715059961689664,0.022807339775497905,0.4499256105902497,0.003790250861546891,0.0,0.09130551611273244,7.769219678003273e-05
